UID,WID,Understand,attempt,time,distance
30914025,143,4,1,37736,7381.55
30914025,147,2,1,132838,15239.6
30914025,160,2,1,121078,16377.5
30914025,161,3,1,159072,22357.9
30914025,162,2,1,145303,15015.7
30914025,176,2,1,60096,9139.83
30914025,181,2,1,133063,14117.3
30914025,184,2,1,61146,7213.93
30914025,186,2,1,72816,10190.7
30914025,191,2,1,54631,8584.79
30914026,22,4,1,22041,3346.27
30914026,32,3,1,31155,3284.45
30914026,45,4,1,52216,7149.47
30914026,46,3,1,57760,6044.17
30914026,54,4,1,21776,4541.5
30914026,58,1,1,99223,10654
30914026,59,4,1,26465,3408.35
30914026,60,4,1,39286,3917.24
30914026,61,2,1,86651,7559.79
30914026,67,4,1,35849,5277.14
30914026,68,3,1,36104,4703.98
30914026,76,2,1,77129,10898.6
30914026,89,4,1,60214,6024.73
30914026,92,4,1,40911,4438.65
30914026,99,2,1,168675,11428
30914026,127,2,1,162126,14470.3
30914026,129,3,1,91776,8403.29
30914026,138,3,1,51192,4797.03
30914026,139,1,1,84795,10662.1
30914026,141,2,1,78273,7050.31
30914026,143,3,1,21581,3665.46
30914026,147,2,1,124496,12700.3
30914026,160,2,1,105129,14743.1
30914026,161,2,1,260414,31621.2
30914026,162,4,1,13505,2745.38
30914026,176,3,1,32757,4511.62
30914026,181,2,1,50812,8575.24
30914026,184,2,1,140962,11052.4
30914026,186,3,1,65537,6333.89
30914026,191,3,1,21008,3532.32
30914904,22,4,1,12548,3740.52
30914904,32,4,1,16738,3308.5
30914904,45,4,1,21061,3848.32
30914904,46,4,1,31153,4798.48
30914904,54,4,1,75071,13546.7
30914904,58,2,1,48420,7990.22
30914904,59,4,1,30400,5525.64
30914904,60,4,1,36522,6008.58
30914904,61,4,1,29678,5375.38
30914904,67,4,1,38814,9616.37
30914904,68,4,1,29942,6057.98
30914904,76,2,1,90935,10039
30914904,89,4,1,22704,6354.36
30914904,92,4,1,60047,9033.13
30914904,99,4,1,22768,4815.26
30914904,127,4,1,47769,7703.74
30914904,129,4,1,31929,4763.05
30914904,138,2,1,45040,8042.01
30914904,139,2,1,49806,8273.19
30914904,141,2,1,90552,9167.04
30914904,143,4,1,12031,3415.29
30914904,147,3,1,50163,8997.96
30914904,160,3,1,56159,7837.3
30914904,161,2,1,109385,10919.2
30914904,162,4,1,26458,4424.41
30914904,176,4,1,34600,5626.41
30914904,181,4,1,15431,3850.83
30914904,184,4,1,35382,5109.52
30914904,186,4,1,52274,9454.88
30914904,191,4,1,32363,6078.2
60910014,22,4,1,13446,3114.37
60910014,32,3,1,22745,3568.55
60910014,45,2,1,33278,5605.17
60910014,46,4,1,24740,3286.16
60910014,54,4,1,19849,4747.68
60910014,58,4,1,29744,4520.46
60910014,59,2,1,50064,4493
60910014,60,4,1,26153,3500.96
60910014,61,3,1,31867,5121.79
60910014,67,4,1,12766,2959.89
60910014,68,4,1,19385,3887.64
60910014,76,2,1,61051,4478.23
60910014,89,2,1,65670,8867.1
60910014,92,4,1,23401,4281.52
60910014,99,4,1,26738,3843.55
60910014,127,2,1,89158,10740.4
60910014,129,4,1,24583,5317.49
60910014,138,4,1,25267,3658.92
60910014,139,2,1,51538,6989.96
60910014,141,3,1,32019,5233.07
60910014,143,4,1,12762,2688.38
60910014,147,2,1,83833,9162
60910014,160,3,1,39156,4812.08
60910014,161,2,1,80080,10405.8
60910014,162,4,1,18513,2823.49
60910014,176,2,1,73803,7162.89
60910014,181,4,1,42784,6234.33
60910014,184,2,1,22985,4293.87
60910014,186,4,1,27594,4931.94
60910014,191,4,1,17458,3174.23
60910020,22,4,1,14354,3682.13
60910020,32,4,1,17912,3626.12
60910020,45,4,1,29728,4928.63
60910020,46,4,1,33815,4024.18
60910020,54,4,1,19617,4785.33
60910020,58,3,1,65520,8624.51
60910020,59,4,1,43456,4467.99
60910020,60,4,1,32064,4522.81
60910020,61,4,1,18544,4433.95
60910020,67,4,1,18727,2977.5
60910020,68,4,1,23424,3789.51
60910020,76,3,1,77080,7993.14
60910020,89,4,1,84703,10406.6
60910020,92,4,1,28089,4923.69
60910020,99,4,1,37287,5034.48
60910020,127,3,1,145105,15302.8
60910020,129,4,1,29673,3825.91
60910020,138,4,1,32992,4312.34
60910020,139,4,1,40169,5926.25
60910020,141,3,1,44089,4925.38
60910020,143,4,1,17776,3045.8
60910020,147,4,1,67976,7187.21
60910020,160,4,1,85857,7293.81
60910020,161,4,1,37056,6326.3
60910020,162,4,1,20393,2871.8
60910020,176,3,1,121127,18999.9
60910020,181,4,1,55480,5863.47
60910020,184,4,1,32608,6682.99
60910020,186,4,1,29360,5853.33
60910020,191,4,1,22136,3686.43
60910022,22,4,1,14626,3850.34
60910022,32,4,1,26465,4079.6
60910022,45,2,1,27124,4621.88
60910022,46,3,1,20588,3955.96
60910022,54,3,1,58647,12287.3
60910022,58,2,1,44988,7080.46
60910022,59,2,1,23381,5373.11
60910022,60,2,1,77974,6891.1
60910022,61,4,1,27916,7335.61
60910022,67,3,1,35709,8208.63
60910022,68,3,1,23389,4398
60910022,76,2,1,75093,11217.1
60910022,89,2,1,52855,7314.12
60910022,92,4,1,22369,5159.73
60910022,99,2,1,54266,7661.13
60910022,127,2,1,71154,8461.99
60910022,129,2,1,43315,6775.67
60910022,138,4,1,29824,5524.94
60910022,139,2,1,42029,7703.69
60910022,141,2,1,29917,5589.17
60910022,143,4,1,18472,3497.27
60910022,147,2,1,81857,13866.7
60910022,160,2,1,77944,10835.5
60910022,161,2,1,138968,12492.9
60910022,162,4,1,18230,3645.31
60910022,176,2,1,53118,6909.03
60910022,181,2,1,32436,5794.59
60910022,184,2,1,33178,5292.49
60910022,186,2,1,34539,8172.95
60910022,191,3,1,58366,7441.42
60910037,22,4,1,19481,3357.07
